District_N,party,Lean,Dallet.margin,Dallet.pct,Walker14.pct,Clinton.pct,Trump.pct,Obama.pct,Romney.pct,Lean_pres,Lean_pres.ass
57,Dem,0.011660529294158967,0.28763371196813103,0.6438168559840656,0.5026656063149834,0.48365288706638593,0.43847944142746315,0.5547294598073594,0.4224333081805673,NA,0.07
54,Dem,-0.006075340232256843,0.2238211280560507,0.61191056402802535,0.5017481860220309,0.46612450269131755,0.4568219049847882,0.5535226195124672,0.42859931946226365,NA,0.04
74,Dem,-0.014253735311325807,0.1253186293377856,0.5626593146688927,0.4840011872959335,0.43315390261805725,0.5141668705652067,0.550781435561256,0.4342549047551185,NA,-0.03
71,Dem,-0.025611157921877594,0.2332597638658766,0.6166298819329383,0.48881688634433296,0.4738387281367402,0.45597492100614534,0.5572554473806213,0.4263719103042725,NA,0.05
42,NA,-0.02888627627348978,0.01667758758475313,0.5083387937923766,0.5419876388391257,0.4057880254293576,0.5309801688964797,0.5062663621678828,0.4829833454018827,NA,-0.09
96,Rep,-0.05949049362355686,0.1021986990405061,0.5510993495202531,0.5095168374816984,0.418932694162052,0.5193817670881891,0.5437100797719235,0.43932125332383015,NA,-0.05
49,Rep,-0.06083499509444949,0.09196038536247375,0.5459801926812369,0.5083187568644999,0.41479079628359417,0.5093221924300056,0.5582587621178225,0.4249005717126523,NA,-0.04
31,Rep,-0.06329221277116504,0.05836065309277244,0.5291803265463862,0.5453132119977484,0.436281512605042,0.4945798319327731,0.5043540038566934,0.4845021820765249,NA,-0.04
82,Rep,-0.06419254951409568,-0.07568358004168979,0.4621582099791551,0.6065051745706812,0.4330324192357917,0.5060655954881811,0.44281951130892905,0.5481515123989463,NA,-0.08
23,Rep,-0.06489979228171432,0.10227539296449228,0.5511376964822462,0.5927972394513846,0.49428153592320384,0.43497825108744564,0.4365967877657045,0.5535616288003512,NA,0.02
24,Rep,-0.08056428166620326,-0.03414151682096073,0.4829292415895196,0.5873812542331672,0.4736040991635898,0.4658729560696255,0.4564984807634698,0.534500221109542,NA,-0.01
93,Rep,-0.08082516842507137,0.11256690066525898,0.5562834503326295,0.5384923225983108,0.4180550111067555,0.5127564353848164,0.49632730040035733,0.49027230916851405,NA,-0.07
