County,Total_2012,Romney,Obama,romney_pct,obama_pct,Total_2016,Trump,Clinton,trump_pct,clinton_pct,gop_change,dallet_pct,screnock_pct,dem_change
Eau Claire,54806,23256,30666,0.42433310221508597,0.5595372769404809,55025,23331,27340,0.42400726942298955,0.4968650613357565,-3.2583279209641436e-4,63.88,36.12,0.14193493866424356
Florence,2625,1645,953,0.6266666666666667,0.36304761904761906,2656,1898,665,0.7146084337349398,0.2503765060240964,0.08794176706827306,37.1,62.9,0.1206234939759036
Fond Du Lac,53402,30355,22379,0.5684244035803903,0.4190667016216621,51796,31022,17387,0.5989265580353695,0.3356822920688856,0.03050215445497928,43.25,56.75,0.09681770793111438
Forest,4648,2172,2425,0.46729776247848537,0.5217297762478486,4545,2787,1579,0.6132013201320132,0.3474147414741474,0.14590355765352786,45.89,54.11,0.11148525852585262
Grant,24248,10255,13594,0.4229214780600462,0.5606235565819861,24368,12350,10051,0.506812212738017,0.4124671700590939,0.08389073467797081,54.52,45.48,0.13273282994090613
Green,19322,7857,11206,0.40663492392091916,0.5799606665976607,18985,8693,9122,0.4578878061627601,0.48048459309981567,0.051252882241840936,62.24,37.76,0.1419154069001844
Green Lake,9675,5782,3793,0.5976227390180878,0.39204134366925064,9416,6216,2693,0.6601529311809685,0.2860025488530161,0.0625301921628807,40.95,59.05,0.1234974511469839
Iowa,12534,4287,8105,0.34202967927237915,0.6466411361097814,12275,4809,6669,0.39177189409368635,0.5432993890020367,0.049742214821307196,66.28,33.72,0.11950061099796339
Iron,3632,1790,1784,0.49284140969163,0.4911894273127753,3513,2081,1275,0.592371192712781,0.3629376601195559,0.09952978302115106,48.73,51.27,0.12436233988044404
Jackson,9313,3900,5298,0.4187694620423065,0.5688822076667025,9267,4906,3818,0.5294054170713284,0.41199956836085033,0.1106359550290219,55.54,44.46,0.14340043163914967
Jefferson,44281,23517,20158,0.5310855671732797,0.4552291050337617,43109,23417,16569,0.5432044352687374,0.38435129555313274,0.012118868095457702,47.8,52.2,0.09364870444686724
Juneau,11827,5411,6242,0.45751247146360025,0.5277754291029001,11735,7130,4073,0.6075841499786963,0.34708138048572645,0.150071678515096,45.34,54.66,0.10631861951427357
Kenosha,80897,34977,44867,0.4323646117903012,0.5546188362980086,76304,36037,35799,0.47228192493185156,0.469162822394632,0.03991731314155034,56.77,43.23,0.09853717760536812
Kewaunee,11037,5747,5153,0.5207030896076833,0.4668841170607955,10767,6618,3627,0.6146558930064084,0.336862635831708,0.09395280339872514,49.28,50.72,0.15593736416829201
La Crosse,63462,25751,36693,0.4057703822760077,0.5781885222652926,63674,26378,32406,0.41426641957470867,0.5089361434808556,0.008496037298700965,66.96,33.04,0.1606638565191444
Lafayette,7952,3314,4536,0.4167505030181087,0.5704225352112676,7662,3977,3288,0.5190550770033934,0.4291307752545027,0.1023045739852847,54.6,45.4,0.11686922474549732
Langlade,10519,5816,4573,0.5529042684665842,0.43473714231390814,10186,6478,3250,0.6359709405065777,0.3190653838602003,0.0830666720399934,44.02,55.98,0.12113461613979976
Lincoln,15216,7455,7563,0.4899447949526814,0.49704258675078866,14712,8401,5371,0.5710304513322458,0.3650761283306145,0.08108565637956444,51.06,48.94,0.14552387166938557
Manitowoc,42617,21604,20403,0.5069338526878945,0.4787526104606143,40786,23244,14538,0.5699014367675183,0.3564458392585691,0.06296758407962377,50.38,49.62,0.14735416074143093
