Precinct,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Jones,Moore,jones_pct,moore_pct,change_dem
CITY HALL  JACKSON,1008,421,571,0.4176587301587302,0.566468253968254,692,458,229,0.661849710982659,0.3309248554913295,0.09538145701440504
CLARION INN S COLLEGE,7496,4406,2438,0.5877801494130203,0.3252401280683031,4770,2739,1894,0.5742138364779874,0.3970649895178197,0.2489737084096843
CLARK BLDG OFF 129,331,286,32,0.8640483383685801,0.09667673716012085,181,37,137,0.20441988950276244,0.7569060773480663,0.10774315234264159
CLAUDE PARKMAN BLDG,718,78,616,0.10863509749303621,0.8579387186629527,408,375,29,0.9191176470588235,0.07107843137254902,0.0611789283958708
CLAYHATCHEE COMM HOUSE,446,376,53,0.8430493273542601,0.11883408071748879,273,66,206,0.24175824175824176,0.7545787545787546,0.12292416104075297
CLAYTON COURTHOUSE,863,306,542,0.354577056778679,0.6280417149478563,602,404,198,0.6710963455149501,0.3289036544850498,0.0430546305670938
CLEAR CREEK VC PHIL CH,146,124,14,0.8493150684931506,0.0958904109589041,92,18,71,0.1956521739130435,0.7717391304347826,0.09976176295413938
CLEAR SPG FELLOWSHIP,147,139,8,0.9455782312925171,0.05442176870748299,98,9,87,0.09183673469387756,0.8877551020408163,0.037414965986394565
CLEMENTS BAPTIST CHURCH,1145,886,194,0.7737991266375546,0.16943231441048034,709,233,462,0.32863187588152326,0.6516220028208745,0.15919956147104292
CLEMENTS BAPTIST CHURCH,1145,886,194,0.7737991266375546,0.16943231441048034,1089,680,365,0.6244260789715336,0.3351698806244261,0.4549937645610532
CLEVELAND,1164,1007,121,0.8651202749140894,0.10395189003436427,630,130,489,0.20634920634920634,0.7761904761904762,0.10239731631484207
CLIFTON VOC BUILDING DIST 4,127,3,123,0.023622047244094488,0.968503937007874,100,95,5,0.95,0.05,-0.018503937007874005
CLIFTON VOC BUILDING DIST 5,103,0,102,0,0.9902912621359223,105,104,0,0.9904761904761905,0,1.8492834026817562e-4
CLIO CITY HALL,487,244,233,0.5010266940451745,0.4784394250513347,295,164,130,0.5559322033898305,0.4406779661016949,0.07749277833849583
CLOPTON COMMUNITY HOUSE,147,127,16,0.8639455782312925,0.10884353741496598,99,21,74,0.21212121212121213,0.7474747474747475,0.10327767470624614
CO COMMISSION DIST 1,1908,1393,421,0.730083857442348,0.22064989517819705,1140,400,701,0.3508771929824561,0.6149122807017544,0.13022729780425907
COALING TOWN HALL,1537,1267,227,0.8243331164606376,0.14769030579050096,874,244,617,0.2791762013729977,0.7059496567505721,0.13148589558249674
COARMM,232,116,102,0.5,0.4396551724137931,118,63,54,0.5338983050847458,0.4576271186440678,0.09424313267095269
COATOPA BEL FIRE DEPT,247,100,142,0.4048582995951417,0.5748987854251012,198,136,61,0.6868686868686869,0.30808080808080807,0.11196990144358565
COFFEE SPRINGS,334,296,29,0.8862275449101796,0.08682634730538923,201,20,180,0.09950248756218906,0.8955223880597015,0.012676140256799834
COFFEEVILLE TOWN HALL,530,320,206,0.6037735849056604,0.3886792452830189,316,144,169,0.45569620253164556,0.5348101265822784,0.06701695724862666
COKER FIRE DEPT,712,635,59,0.8918539325842697,0.08286516853932584,400,76,314,0.19,0.785,0.10713483146067417
COLBERT HEIGHTS BAPTIST,1064,876,146,0.8233082706766918,0.13721804511278196,539,140,395,0.2597402597402597,0.7328385899814471,0.12252221462747775
COLD SPRINGS COMMUNITY CT,565,504,49,0.8920353982300885,0.08672566371681416,343,65,277,0.18950437317784258,0.8075801749271136,0.10277870946102842
COLE V CTR KILLINGSWORTH,145,129,16,0.8896551724137931,0.1103448275862069,75,20,54,0.26666666666666666,0.72,0.15632183908045977
COLEMAN ASSEMBLY OF GOD,150,143,5,0.9533333333333334,0.03333333333333333,88,4,84,0.045454545454545456,0.9545454545454546,0.012121212121212123
