County,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Moore,Jones,moore_pct,jones_pct,change_dem
Dallas,18906,5784,12826,0.30593462392891146,0.6784089706971332,13317,3118,10136,0.2341368176015619,0.7611323871742885,0.08272341647715531
DeKalb,26512,21779,3682,0.8214770669885335,0.13888050694025347,13896,10108,3562,0.7274035693724813,0.25633275762809443,0.11745225068784096
Elmore,37454,27634,8443,0.7378117157045977,0.22542318577455012,22475,14415,7711,0.6413793103448275,0.34309232480533924,0.11766913903078913
Escambia,14928,10282,4698,0.6887727759914255,0.3147106109324759,8715,4985,3640,0.5720022948938611,0.41767068273092367,0.1029600717984478
Etowah,44456,32353,10442,0.7277532841461221,0.23488393017815368,26945,15730,10568,0.5837817776953053,0.39220634626090184,0.15732241608274816
Fayette,8302,6712,1362,0.8084798843652132,0.16405685377017587,4686,3491,1143,0.7449850618864703,0.2439180537772087,0.07986120000703284
Franklin,12207,9466,2197,0.7754567051691652,0.1799787007454739,6039,4216,1771,0.6981288292763702,0.29326047358834245,0.11328177284286856
Geneva,11788,9994,1525,0.8478113335595521,0.1293688496776383,6837,5433,1290,0.7946467749012724,0.18867924528301888,0.059310395605380595
Greene,4896,838,4012,0.17116013071895425,0.8194444444444444,3820,462,3345,0.12094240837696335,0.8756544502617801,0.056210005817335706
Hale,7980,3172,4772,0.3974937343358396,0.5979949874686716,5623,1691,3902,0.30072914814156143,0.6939356215543304,0.09594063408565878
Henry,8158,5632,2292,0.690365285609218,0.2809512135327286,4954,3015,1899,0.6085991118288252,0.3833266047638272,0.10237539123109857
Houston,43975,30728,10664,0.6987606594656055,0.24250142126208074,24340,14846,9198,0.6099424815119145,0.37789646672144617,0.13539504545936543
Jackson,21138,16643,3663,0.7873497965748888,0.17328980982117514,10811,7317,3330,0.6768106558135233,0.308019609656831,0.13472979983565586
Jefferson,305018,134498,156384,0.4409510258410979,0.5127041682785934,219986,66350,149759,0.3016101024610657,0.6807660487485567,0.1680618804699633
Lamar,7007,5819,1035,0.8304552590266876,0.14770943342371914,3668,2847,779,0.7761723009814613,0.2123773173391494,0.06466788391543027
Lauderdale,39876,27899,9952,0.6996438960778413,0.24957367840304945,23184,12818,9970,0.5528812974465148,0.43003795721187027,0.18046427880882082
Lawrence,14823,10732,3611,0.7240099844835728,0.24360790663158605,8409,5314,3028,0.6319419669401831,0.3600903793554525,0.11648247272386647
Lee,59529,34617,21230,0.5815148919014262,0.35663290161097955,34630,14059,19886,0.40597747617672536,0.5742419867167196,0.21760908510574
Limestone,40587,29067,9468,0.7161652745953138,0.2332766649419765,24530,14339,9660,0.5845495311863025,0.3938035059111292,0.16052684096915273
Lowndes,6757,1751,4883,0.2591386710078437,0.7226579843125648,4799,988,3783,0.20587622421337778,0.7882892269222754,0.06563124260971065
Macon,9195,1431,7566,0.15562805872756932,0.8228384991843393,6567,759,5783,0.11557788944723618,0.8806151971981118,0.0577766980137725
Madison,164359,89520,62822,0.544661381488084,0.3822242773441065,116359,46381,65997,0.39860260057236657,0.5671843175001504,0.1849600401560439
Marengo,11063,5233,5615,0.4730181686703426,0.5075476814607249,7385,2805,4498,0.3798239675016926,0.6090724441435342,0.1015247626828093
